ProductID,WarehouseID,SnapshotDate,OpeningStock,UnitsReceived,UnitsSold,UnitsReturned,ClosingStock,ReorderLevel
1,1,2025-10-31,633,214,124,13,736,159
1,1,2025-11-30,582,460,95,6,953,151
1,1,2025-12-31,680,455,74,8,1069,45
1,2,2025-10-31,398,468,155,18,729,51
1,2,2025-11-30,485,77,219,16,359,148
1,2,2025-12-31,150,153,303,32,32,147
1,3,2025-10-31,373,356,199,12,542,77
1,3,2025-11-30,307,448,174,13,594,57
1,3,2025-12-31,440,425,180,19,704,87
1,4,2025-10-31,527,479,571,46,481,168
1,4,2025-11-30,791,28,280,28,567,97
1,4,2025-12-31,384,246,139,14,505,45
1,5,2025-10-31,457,272,468,33,294,145
1,5,2025-11-30,532,280,50,4,766,73
1,5,2025-12-31,579,56,76,3,562,39
1,6,2025-10-31,387,345,85,9,656,129
1,6,2025-11-30,458,101,531,55,83,88
1,6,2025-12-31,752,194,57,2,891,90
1,7,2025-10-31,753,360,293,25,845,125
1,7,2025-11-30,37,73,110,9,9,121
1,7,2025-12-31,159,444,102,7,508,111
1,8,2025-10-31,101,0,101,9,9,171
1,8,2025-11-30,51,182,192,14,55,62
1,8,2025-12-31,771,382,233,26,946,123
1,9,2025-10-31,68,423,195,15,311,36
1,9,2025-11-30,796,323,326,29,822,107
1,9,2025-12-31,513,212,407,35,353,108
1,10,2025-10-31,411,100,254,15,272,112
1,10,2025-11-30,496,71,225,18,360,115
1,10,2025-12-31,107,364,102,10,379,55
1,11,2025-10-31,712,425,114,5,1028,139
1,11,2025-11-30,145,195,187,17,170,126
1,11,2025-12-31,388,217,223,11,393,113
1,12,2025-10-31,336,107,299,30,174,115
1,12,2025-11-30,423,120,472,48,119,54
1,12,2025-12-31,50,395,445,41,41,47
1,13,2025-10-31,557,123,317,19,382,30
1,13,2025-11-30,156,497,143,21,531,97
1,13,2025-12-31,650,121,471,37,337,51
1,14,2025-10-31,762,60,36,2,788,89
1,14,2025-11-30,743,85,321,32,539,94
1,14,2025-12-31,365,433,121,11,688,70
1,15,2025-10-31,614,496,571,53,592,99
1,15,2025-11-30,361,53,173,10,251,104
1,15,2025-12-31,630,222,57,1,796,105
2,1,2025-10-31,745,228,318,40,695,62
2,1,2025-11-30,780,418,138,12,1072,74
2,1,2025-12-31,606,115,196,17,542,162
2,2,2025-10-31,692,389,203,14,892,94
2,2,2025-11-30,372,294,193,12,485,126
2,2,2025-12-31,72,434,107,11,410,75
2,3,2025-10-31,327,116,109,7,341,160
2,3,2025-11-30,509,477,219,16,783,159
2,3,2025-12-31,251,486,383,32,386,144
2,4,2025-10-31,525,156,104,5,582,154
2,4,2025-11-30,251,3,94,8,168,161
2,4,2025-12-31,264,208,106,7,373,62
2,5,2025-10-31,74,361,208,19,246,66
2,5,2025-11-30,117,386,121,9,391,175
2,5,2025-12-31,542,231,773,62,62,119
2,6,2025-10-31,627,329,188,14,782,103
2,6,2025-11-30,88,266,278,23,99,39
2,6,2025-12-31,550,448,275,18,741,172
2,7,2025-10-31,118,173,291,24,24,117
2,7,2025-11-30,656,245,266,32,667,113
2,7,2025-12-31,637,18,143,11,523,133
2,8,2025-10-31,317,490,78,4,733,65
2,8,2025-11-30,406,204,92,10,528,148
2,8,2025-12-31,459,438,143,9,763,95
2,9,2025-10-31,82,494,199,20,397,124
2,9,2025-11-30,146,11,157,11,11,62
2,9,2025-12-31,680,187,123,12,756,174
2,10,2025-10-31,79,214,176,15,132,143
2,10,2025-11-30,799,147,90,10,866,151
2,10,2025-12-31,349,33,235,18,165,112
2,11,2025-10-31,70,158,228,16,16,130
2,11,2025-11-30,750,314,379,28,713,120
2,11,2025-12-31,589,208,275,24,546,54
2,12,2025-10-31,258,279,397,32,172,99
2,12,2025-11-30,561,120,259,20,442,166
2,12,2025-12-31,704,135,117,8,730,148
2,13,2025-10-31,508,101,186,10,433,64
2,13,2025-11-30,122,271,107,13,299,55
2,13,2025-12-31,76,174,250,22,22,142
2,14,2025-10-31,605,77,26,1,657,174
2,14,2025-11-30,724,28,752,57,57,86
2,14,2025-12-31,136,319,151,13,317,152
2,15,2025-10-31,340,424,78,2,688,134
2,15,2025-11-30,172,156,70,6,264,85
2,15,2025-12-31,519,26,82,5,468,96
3,1,2025-10-31,472,301,171,15,617,131
3,1,2025-11-30,455,218,259,22,436,50
3,1,2025-12-31,648,369,68,3,952,52
3,2,2025-10-31,164,140,112,8,200,171
3,2,2025-11-30,196,283,246,20,253,82
