LocationID,City,Country,Region
1,Kaduna,Nigeria,South West
2,Sokoto,Nigeria,South East
3,Calabar,Nigeria,North Central
4,Sokoto,Nigeria,South South
5,Ado-Ekiti,Nigeria,North Central
6,Kano,Nigeria,North Central
7,Onitsha,Nigeria,North Central
8,Sokoto,Nigeria,South West
9,Uyo,Nigeria,South East
10,Ilorin,Nigeria,North West
11,Osogbo,Nigeria,North West
12,Jos,Nigeria,North Central
13,Ilorin,Nigeria,North Central
14,Enugu,Nigeria,North Central
15,Akure,Nigeria,South South
16,Kaduna,Nigeria,South West
17,Onitsha,Nigeria,North Central
18,Warri,Nigeria,North West
19,Ibadan,Nigeria,South South
20,Owerri,Nigeria,South West
21,Warri,Nigeria,South East
22,Kaduna,Nigeria,South South
23,Lagos,Nigeria,South South
24,Uyo,Nigeria,South East
25,Ado-Ekiti,Nigeria,North West
26,Ilorin,Nigeria,North West
27,Kaduna,Nigeria,South South
28,Ilorin,Nigeria,North Central
29,Owerri,Nigeria,South South
30,Ado-Ekiti,Nigeria,South South
31,Sokoto,Nigeria,North West
32,Abeokuta,Nigeria,North Central
33,Lagos,Nigeria,North Central
34,Calabar,Nigeria,South West
35,Osogbo,Nigeria,South West
36,Owerri,Nigeria,South East
37,Enugu,Nigeria,North Central
38,Uyo,Nigeria,South West
39,Benin City,Nigeria,North West
40,Owerri,Nigeria,South West
41,Calabar,Nigeria,South South
42,Benin City,Nigeria,North West
43,Lagos,Nigeria,North Central
44,Ado-Ekiti,Nigeria,North Central
45,Calabar,Nigeria,South West
46,Benin City,Nigeria,South West
47,Uyo,Nigeria,South West
48,Uyo,Nigeria,South South
49,Lagos,Nigeria,North Central
50,Akure,Nigeria,North West
