PaymentID,OrderID,CustomerID,PaymentMethod,NetSales,PaymentStatus,PaymentAmount
1,1,35490,Wallet,16918.11,Refunded,16918.11
2,2,20875,Wallet,59592.01,Completed,59592.01
3,3,35559,Bank Transfer,30074.92,Completed,30074.92
4,4,28754,Cash on Delivery,23581.94,Pending Settlement,23581.94
5,5,5948,Wallet,9790.45,Completed,9790.45
6,6,24360,Card,18664.800000000003,Completed,18664.800000000003
7,7,11244,Card,44685.67,Completed,44685.67
8,8,29123,Card,17331.620000000003,Completed,17331.620000000003
9,9,44976,Cash on Delivery,25218.5,Pending Settlement,25218.5
10,10,42698,Card,7441.26,Completed,7441.26
11,11,23584,Card,4849.91,Completed,4849.91
12,12,32063,Card,9882.02,Completed,9882.02
13,13,27716,Cash on Delivery,2211.95,Pending Settlement,2211.95
14,14,9938,Wallet,5899.84,Completed,5899.84
15,15,36853,Wallet,31945.35,Completed,31945.35
16,16,16870,Card,20388.550000000003,Completed,20388.550000000003
17,17,45602,Card,27631.71,Completed,27631.71
18,18,27694,Bank Transfer,5121.08,Completed,5121.08
19,19,42387,Card,48109.89,Completed,48109.89
20,20,29002,Cash on Delivery,12604.68,Pending Settlement,12604.68
21,21,22170,Card,1554.37,Refunded,1554.37
22,22,37774,Card,57070.22,Completed,57070.22
23,23,18774,Card,2373.83,Completed,2373.83
24,24,27676,Cash on Delivery,45173.25,Pending Settlement,45173.25
25,25,25500,Wallet,12528.07,Completed,12528.07
26,26,27464,Wallet,3980.16,Completed,3980.16
27,27,45207,Card,12341.97,Completed,12341.97
28,28,3359,Cash on Delivery,53110.82,Pending Settlement,53110.82
29,29,40335,Card,35233.81,Completed,35233.81
30,30,19739,Card,38038.42,Completed,38038.42
31,31,37383,Wallet,13847.18,Completed,13847.18
32,32,5548,Wallet,25375.010000000002,Completed,25375.010000000002
33,33,39227,Cash on Delivery,13761.07,Pending Settlement,13761.07
34,34,20560,Card,2921.67,Completed,2921.67
35,35,46660,Bank Transfer,15196.59,Completed,15196.59
36,36,14127,Cash on Delivery,34364.33,Pending Settlement,34364.33
37,37,17675,Card,22974.519999999997,Completed,22974.519999999997
38,38,34257,Card,2876.03,Completed,2876.03
39,39,5349,Card,5201.389999999999,Completed,5201.389999999999
40,40,5270,Cash on Delivery,34183.560000000005,Pending Settlement,34183.560000000005
41,41,16958,Bank Transfer,2966.78,Completed,2966.78
42,42,29979,Bank Transfer,9117.44,Completed,9117.44
43,43,32427,Cash on Delivery,23209.22,Pending Settlement,23209.22
44,44,45163,Bank Transfer,59008.399999999994,Completed,59008.399999999994
45,45,37276,Cash on Delivery,29315.2,Pending Settlement,29315.2
46,46,18466,Bank Transfer,15568.71,Completed,15568.71
47,47,3016,Card,29804.53,Completed,29804.53
