ProductID,ProductName,CategoryID,SellerID,CostPrice,ListPrice,ProductStatus
1,Line On 2761,25,97,2456.76,3880.46,Active
2,Agreement Shoulder 3706,2,327,4419.01,9066.56,Active
3,Time Follow 2300,22,484,617.5,1011.13,Active
4,Out Particular 7259,6,139,2626.03,4762.83,Active
5,Scene Thing 2110,1,19,4385.11,8978.86,Inactive
6,Less End 311,17,479,2035.27,3749.91,Active
7,Rich Every 1921,25,113,5642.72,6881.53,Inactive
8,Particularly Condition 7909,1,26,2704.77,4278.83,Active
9,Finally Career 4353,18,387,946.84,1272.05,Inactive
10,Poor My 7075,7,281,3760.32,5718.18,Active
11,Thousand Away 4954,18,253,3097.67,5571.49,Inactive
12,Activity Game 929,16,372,2583.81,3414.58,Inactive
13,Head Learn 8975,19,422,2823.07,4461.88,Inactive
14,Us Age 9462,21,303,5297.55,9785.5,Active
15,Guy Spend 8431,3,140,2907.23,4756.98,Active
16,Education Always 9872,18,436,4761.3,8773.15,Active
17,Down Short 5698,16,68,9600.79,21050.14,Active
18,Kitchen Stand 6800,16,199,5264.41,7677.42,Inactive
19,Wrong Three 7346,21,1,2958.94,6074.58,Active
20,South Case 7069,5,421,2836.06,4424.86,Active
21,Across Start 7877,20,165,2344.71,5018.95,Inactive
22,Watch Your 5038,20,180,3091.29,6330.23,Inactive
23,Statement Three 3412,21,92,3245.47,6212.26,Inactive
24,Former Instead 183,7,389,1698.99,2997.12,Active
25,Form Trip 9547,17,415,1977.07,3060.3,Active
26,What For 5335,19,271,1456.14,2250.21,Inactive
27,Produce Risk 1626,7,442,5328.79,10447.78,Active
28,Hold Factor 8966,10,21,3545.08,5401.23,Inactive
29,Yourself Late 8814,4,218,2893.71,6156.06,Active
30,Throughout Us 6264,12,324,1739.84,2008.28,Active
31,Movement May 5275,10,125,4779.7,9587.96,Active
32,Television Tell 9646,23,284,1761.04,3431.6,Inactive
33,Include Consumer 1745,3,480,1689.2,2851.78,Inactive
34,Ball Hospital 9399,5,139,5298.08,10991.37,Active
35,Capital True 8577,22,276,2144.57,2562.12,Inactive
36,Get Time 2777,16,332,3665.84,6043.12,Active
37,View Bag 2272,1,193,1935.76,2246.46,Inactive
38,Modern Spring 7261,20,375,2442.61,3422.62,Active
39,Age It 6877,11,290,2860.24,5612.0,Active
40,Continue Push 7003,6,98,6784.64,10543.11,Active
41,Group Grow 1267,1,302,3997.53,6195.4,Active
42,Sport Identify 9995,11,371,4380.7,7017.92,Active
43,Drop Point 9059,6,301,4373.98,8190.39,Active
44,At True 3493,8,448,6697.13,12111.05,Inactive
45,High Whatever 1437,20,270,10912.31,22220.95,Active
46,Remain Establish 1024,19,449,4574.74,8294.61,Inactive
47,Do Officer 1150,14,156,1432.08,3040.82,Active
48,Several Course 939,16,38,3747.14,7567.09,Active
49,Yet Fire 1436,6,207,8499.01,11340.33,Inactive
50,Candidate Significant 5134,13,481,1075.15,1467.97,Active
51,I Growth 4961,20,400,11252.65,13511.75,Inactive
52,Sing Institution 8043,22,131,5249.52,10348.56,Active
53,Either Ask 7677,9,398,3838.54,5919.39,Inactive
54,Late Themselves 5535,8,369,2367.13,4703.99,Active
55,Responsibility Actually 6664,1,52,1949.31,3700.77,Active
56,Thing Draw 9908,6,214,6721.6,13679.43,Active
57,Forward Social 3892,15,44,1054.69,1758.21,Inactive
58,Some Example 8322,20,440,17341.39,34799.78,Active
59,Decade Network 897,13,395,6203.04,13181.58,Inactive
60,Training Doctor 9686,9,172,4588.43,9081.27,Active
61,Prove Speech 4559,5,310,4055.56,5389.66,Inactive
62,Heart Represent 1071,11,470,1725.35,2388.78,Inactive
63,Give Without 433,15,18,3522.83,5972.82,Active
64,Side Role 1055,14,262,930.19,1544.07,Active
65,Our Adult 294,9,434,1280.51,2389.12,Active
66,Continue Learn 9340,25,267,837.31,1215.82,Active
67,Size During 2603,4,14,3174.83,6061.37,Inactive
68,Example Player 3567,9,294,2091.51,4089.76,Active
69,Close Face 3640,5,232,2555.51,4941.67,Active
70,Argue Particular 725,16,168,3544.55,6365.12,Active
71,Top Four 355,1,28,8078.63,15917.01,Active
72,Want Every 2903,23,438,888.08,1803.97,Active
73,Special Four 9736,16,361,9314.08,11452.25,Active
74,Base Mouth 1416,7,79,3250.11,5363.11,Active
75,Fill Itself 9264,20,406,2052.23,2712.54,Active
76,Instead Firm 8080,20,296,3664.56,7950.67,Inactive
77,Game Ask 1025,11,54,4116.45,5960.02,Active
78,Western Guy 9439,19,265,7566.33,9367.07,Active
79,Look Moment 5895,15,352,2582.75,4831.53,Active
80,Past We 7977,20,240,1064.04,1595.74,Active
81,Figure Garden 4841,19,24,994.97,1274.74,Active
82,Serious Behind 1251,21,296,5269.92,9211.83,Active
83,Treatment Condition 6361,16,386,4479.73,5875.5,Active
84,Door Financial 7328,12,199,12660.56,16602.81,Active
85,Turn Herself 4892,7,95,957.09,1383.36,Active
86,Money Myself 266,4,209,4321.86,6675.0,Active
87,Condition Break 2302,4,469,5967.51,13056.0,Inactive
88,Sort Father 2996,13,448,3821.84,4810.57,Active
89,Be Huge 624,21,237,2607.28,3075.09,Inactive
90,Else Order 1173,5,303,2334.71,4462.18,Active
91,With Agreement 2637,5,303,2333.66,4382.33,Inactive
92,Check Government 8681,4,359,3650.87,4319.39,Inactive
93,Century Act 3878,19,169,7779.16,14008.1,Active
94,Writer Exist 3059,12,153,1093.95,2242.67,Active
95,Fish Kid 7373,2,39,2212.52,2660.46,Active
96,Growth Provide 9134,7,399,9955.34,19041.0,Active
97,Plant Citizen 1877,6,9,1062.54,2276.05,Inactive
98,List Animal 172,10,467,4257.48,8782.26,Inactive
99,Notice Involve 3137,25,248,343.45,495.14,Active
100,Property Boy 4803,5,125,2031.36,3740.47,Active
101,Artist Condition 6023,14,500,1436.28,2021.74,Active
102,Camera Help 9315,22,100,7340.98,14763.19,Inactive
103,Most Question 7347,13,241,1172.46,1999.42,Active
104,Hot Student 2677,19,79,1226.4,2211.95,Active
105,Particularly Stuff 2590,8,158,1470.53,2179.1,Active
106,On Early 5595,16,290,1950.0,3849.37,Inactive
107,Assume Miss 5889,2,25,2106.53,2760.66,Active
108,Member Save 2848,3,115,1855.27,3529.37,Active
109,Much Spend 8419,2,97,3735.87,7087.36,Inactive
110,Doctor Kid 1336,8,180,1238.12,1626.47,Active
111,Group Single 3366,9,17,4243.13,6663.49,Active
112,Really Field 8622,16,426,1617.26,3223.4,Active
113,Window Thousand 4472,21,99,553.32,1098.32,Active
114,Tv West 1749,6,52,2613.74,5530.16,Active
115,Look Give 4536,14,245,4272.65,9129.51,Active
116,Foot Sea 5507,21,167,1382.87,2920.88,Inactive
117,Many Oil 3975,18,157,3183.19,5976.06,Active
118,Chance Individual 5511,22,367,2017.83,2749.12,Inactive
119,War Toward 3653,12,139,1863.87,2145.75,Active
120,Choose Science 239,14,59,4803.22,9251.86,Active
121,Morning Themselves 8894,3,86,4967.59,5859.21,Active
122,Hard Fish 8736,4,11,1180.63,1549.37,Active
123,Camera You 9564,6,493,1350.65,2480.21,Inactive
124,Case Upon 956,6,289,5238.95,9169.98,Active
125,Safe Management 9700,12,269,1262.47,2310.44,Active
126,Recent Truth 3582,1,133,1432.17,2695.3,Active
127,Forward Nice 2165,19,203,2344.49,4859.88,Active
128,Assume Start 2497,8,144,1833.25,3047.78,Active
129,Raise Left 5740,10,203,1952.36,2969.19,Active
130,Down Apply 1195,21,357,2385.42,4482.88,Active
131,One Until 3571,19,8,2446.99,3974.92,Inactive
132,Nothing Arm 4726,8,400,3506.86,4063.35,Active
133,Her Magazine 6839,4,338,3180.88,4388.73,Inactive
134,Long Build 8227,21,468,11819.08,20877.29,Active
135,Along Suffer 1110,22,216,4880.56,9313.79,Active
136,Instead Rise 9489,22,161,2797.12,4771.83,Active
137,Fly Chair 5031,7,17,11057.03,13905.81,Active
138,Education Worker 230,22,2,1459.34,2686.79,Active
139,Something According 3630,20,377,13856.77,21825.35,Active
140,Administration Little 9846,21,91,22995.61,31945.35,Active
141,Hotel Cultural 4702,2,266,5944.15,9167.78,Inactive
142,Morning Fight 6851,5,231,2633.27,4919.66,Active
143,Improve Manage 3475,6,46,6465.09,11287.43,Active
144,Represent Concern 4069,16,115,7918.71,11578.71,Active
145,Another Wait 4840,2,113,1400.76,2876.12,Active
146,Amount Myself 5129,11,298,5638.8,11341.83,Inactive
147,Even Food 9699,1,384,2480.57,2963.1,Active
148,Democratic Data 4413,6,363,1548.88,3052.01,Active
149,White Time 2092,22,97,3862.85,6746.29,Active
150,Common Public 2553,23,488,3201.05,3899.41,Inactive
151,Public Medical 4741,16,269,1017.74,1666.98,Inactive
152,Cell Admit 9135,25,256,9161.96,10572.25,Active
153,May Best 5133,18,425,3474.49,7525.79,Active
154,Pretty What 880,10,223,5811.74,11081.62,Active
155,Certainly Letter 8957,12,415,6276.39,13036.17,Inactive
156,Between Benefit 4795,22,64,1716.14,2903.03,Inactive
157,Sell Marriage 1547,20,98,17145.66,36156.15,Active
158,Fact Key 8617,25,444,16079.7,22178.2,Active
159,Suffer Land 6598,14,491,1389.1,2511.78,Active
160,Believe Good 4121,24,91,3109.52,3950.77,Inactive
161,Training Building 4146,21,252,3541.28,7378.3,Active
162,Customer Go 2810,7,4,1814.04,2263.78,Inactive
163,Middle Five 8691,24,163,2237.3,3925.28,Active
164,Across Line 4101,1,110,20623.23,35808.58,Inactive
165,Two Door 5057,21,391,2056.1,2727.88,Active
166,This Yeah 9415,5,384,14308.54,24671.15,Active
167,Impact Until 2396,11,354,8062.1,12808.98,Inactive
168,Perhaps Cover 6189,5,369,4383.72,5236.83,Active
169,Degree Down 3539,1,147,8839.62,17002.63,Active
170,Car Arrive 1577,7,32,6362.64,9541.82,Inactive
171,High Tell 9252,13,321,4943.27,6520.73,Active
172,Learn Resource 7654,10,29,6987.65,8671.48,Active
173,Fine Adult 8379,4,102,2061.03,3859.09,Active
174,Public Forget 279,21,425,2637.23,4194.72,Active
175,Teach Great 5948,19,355,1009.57,2180.26,Inactive
176,Benefit Candidate 1970,9,351,5566.59,11990.5,Active
177,Maybe Of 3224,14,101,1861.99,2519.58,Inactive
178,Easy Fund 6146,23,252,942.68,1182.62,Active
179,Set Spring 2290,12,309,4993.96,8366.48,Inactive
180,Use Yes 929,18,159,2495.86,3354.97,Active
181,Operation Listen 8405,4,477,11550.56,18800.0,Inactive
182,Sister These 439,3,119,6247.6,7991.84,Active
183,Enough Company 4338,12,341,9410.0,15215.41,Inactive
184,Third Bad 6279,25,10,2901.52,3697.71,Active
185,Approach Tend 9251,6,117,3964.92,8675.69,Active
186,Drug Those 9872,7,433,6664.08,8626.9,Active
187,Source All 1551,19,391,427.42,559.17,Active
188,Into Bag 1320,18,363,874.64,1150.5,Active
189,Keep Sea 9883,5,127,2929.58,4474.78,Active
190,Grow Beat 9987,20,66,799.4,1062.66,Active
191,Rate Else 2532,12,249,1620.87,2623.92,Active
192,Mention Nor 5072,10,308,4955.51,7847.41,Active
193,Expect About 4922,8,345,4109.8,7979.05,Active
194,Pass Most 8178,23,54,5342.92,10105.31,Inactive
195,Career Price 8480,16,357,1280.42,2693.54,Inactive
196,Leader Million 6124,21,120,6348.38,13505.95,Inactive
197,Enjoy Teach 7801,24,247,1612.63,2327.34,Active
198,Decision Win 3931,20,453,4876.3,6774.99,Active
199,Become Suggest 5894,6,276,5454.28,10939.39,Active
200,Two Tell 1362,23,356,16913.87,25607.03,Inactive
201,Quickly Right 1844,10,433,12417.11,25087.33,Active
202,Art Four 6392,9,101,5483.06,11919.36,Active
203,System Expert 766,21,470,2392.89,3860.55,Active
204,Industry Best 9564,19,188,3469.31,7169.91,Active
205,Whom Appear 785,18,227,4183.04,6590.83,Inactive
206,Real Be 3080,13,406,1902.43,3193.43,Active
207,Party Require 5023,10,260,5287.8,10465.42,Active
208,The Great 4528,18,271,5732.95,11690.5,Active
209,Shake Recently 6593,20,460,5726.55,6632.44,Active
210,Bed Piece 4789,19,74,1275.59,1552.91,Inactive
211,Own Book 4700,24,124,2997.82,5681.33,Active
212,Approach Significant 1202,16,179,6642.19,10398.67,Active
213,May Human 2267,18,129,5667.41,10283.84,Inactive
214,Tax Available 297,22,465,2704.28,4132.22,Active
215,Off There 6996,3,51,2949.58,6226.18,Inactive
216,Well Yes 9079,7,101,2210.11,3833.42,Active
217,Response Growth 4857,23,65,4924.46,7998.45,Active
218,Tough Four 7146,1,208,824.46,1717.93,Active
219,Behavior Police 9461,16,71,1416.76,1740.82,Active
220,Rule Worry 9872,17,139,1926.46,3608.03,Active
221,Piece High 502,16,163,4747.43,6673.38,Inactive
222,Especially Music 9148,2,407,9731.66,13261.55,Inactive
223,Trade Less 5518,21,345,4091.35,6694.72,Inactive
224,Fact Particularly 9163,7,391,1177.46,2397.09,Active
225,Seem Cover 7534,15,458,2550.36,4062.91,Active
226,Week Appear 1806,5,272,1431.2,1705.99,Active
227,Government Card 9264,1,177,2458.66,4077.68,Active
228,Job Offer 5431,9,22,1437.78,2230.82,Active
229,White Reality 5687,4,412,2242.35,3996.0,Active
230,Drop Collection 4062,25,340,1546.8,2526.67,Active
231,Employee Which 8250,23,247,15461.03,23584.9,Active
232,Property Property 6393,18,273,4157.7,8812.93,Active
233,Fund Discuss 6498,10,459,1496.62,2712.27,Active
234,Concern Director 8117,1,260,2904.83,5486.47,Inactive
235,Appear Performance 5922,13,280,12274.96,17279.77,Active
236,Seek Treat 9903,25,175,6000.96,10023.48,Inactive
237,Office Institution 5760,15,458,2636.49,3727.46,Active
238,Section Success 855,24,93,1917.95,3313.53,Active
239,Commercial Get 2048,17,385,3906.41,4930.87,Active
240,Relationship Computer 7270,18,8,1978.3,4229.35,Active
241,Phone Fact 8934,2,38,7589.49,9809.24,Active
242,Focus Fall 7747,20,263,23047.11,34124.28,Active
243,Term Cultural 3562,10,202,3500.36,4545.71,Inactive
244,Thus Simply 7977,5,16,3274.59,4793.45,Active
245,Nation Reach 2415,15,177,1171.91,1461.68,Inactive
246,After The 2681,14,343,10476.36,22059.29,Active
247,Discover What 6924,10,317,4696.81,7105.18,Active
248,Mrs Heart 1514,12,57,761.03,1312.21,Active
249,Reduce Ability 7525,9,186,4031.92,7133.09,Active
250,Bring Push 3821,17,438,2998.84,4067.57,Active
251,Network Purpose 5176,3,454,3404.63,7413.9,Active
252,Me Cause 4211,19,143,2194.91,4576.25,Active
253,Own Candidate 8088,14,168,3315.99,4524.42,Active
254,Box Reduce 8026,7,43,1287.77,2763.15,Active
255,Really Practice 3563,10,154,3292.98,7085.08,Inactive
256,Data Back 9943,8,311,5831.79,10338.07,Inactive
257,These Class 4540,21,317,2617.59,3240.41,Active
258,Artist For 8700,22,353,1725.88,2038.11,Active
259,Minute Couple 3738,17,16,9548.76,16496.15,Active
260,Perform Read 2566,7,51,7585.19,13260.57,Active
261,Hot Suffer 8848,23,257,1329.36,2770.39,Inactive
262,Method Manage 4376,9,120,2193.38,4186.42,Active
263,Strong Also 6364,11,14,3136.24,4911.96,Active
264,Walk Radio 8262,18,141,3855.1,7431.77,Active
265,Music Discover 4144,16,340,5052.05,9678.91,Inactive
266,Start Student 4235,18,314,2405.53,3706.92,Inactive
267,Son Method 9883,1,464,1433.61,2429.68,Inactive
268,Edge Listen 1289,10,152,3795.37,6850.54,Inactive
269,Unit Page 590,5,365,1697.35,2379.78,Inactive
270,Raise Morning 4865,25,87,4879.74,6906.63,Active
271,Available Not 9569,2,183,4737.24,7927.44,Inactive
272,Relate Because 7341,9,484,12778.93,26264.35,Active
273,Picture Above 658,25,269,8893.09,16850.43,Active
274,Lead Series 7932,7,168,5300.95,7236.73,Active
275,Meet Career 779,21,21,2292.09,2734.6,Active
276,Teach Step 7645,2,23,1575.77,3361.37,Inactive
277,Ten North 304,21,92,7249.52,10783.59,Inactive
278,Former Fill 2196,10,308,4259.7,7174.89,Active
279,Strategy Be 5374,18,107,1630.48,1942.14,Active
280,Close Through 5412,16,127,3467.68,5437.45,Inactive
281,Before Job 4202,17,418,2692.38,3833.42,Active
282,Follow Eight 1522,3,140,2397.0,5190.78,Inactive
283,Network Nature 8501,9,342,3424.28,5176.97,Active
284,Everybody Enjoy 1110,1,263,1850.37,2456.4,Inactive
285,Personal Race 8618,24,304,1175.09,2222.13,Active
286,Fight Figure 8536,10,28,13615.38,21157.12,Active
287,Black Different 4865,24,12,2597.65,5126.88,Active
288,Someone Draw 2728,13,216,4949.05,5825.05,Inactive
289,Rest All 4355,21,199,880.43,1363.72,Inactive
290,First Personal 7218,7,368,1040.27,1217.57,Active
291,Success Science 7261,11,50,1461.05,1742.27,Inactive
292,Standard Know 7523,2,331,1433.79,2132.85,Inactive
293,End Lawyer 1413,23,33,1357.16,1745.32,Active
294,Water Guess 2223,19,417,1431.17,2449.86,Inactive
295,Mr Better 5467,10,31,5688.18,12403.6,Active
296,Kid Less 519,9,22,1670.33,3506.77,Active
297,My Without 5360,17,495,532.06,888.66,Inactive
298,Run See 3424,6,228,3317.22,5346.0,Active
299,Effect Behind 4398,17,225,2041.44,4276.05,Active
300,Respond Receive 5106,10,370,10143.54,18299.21,Active
301,Choose Central 3996,13,135,2832.96,5501.46,Active
302,Sign Among 3675,11,202,8218.97,14103.77,Active
303,Nation Nearly 4511,9,220,2449.1,3390.8,Active
304,Prove Gas 3126,9,112,1847.14,2792.28,Inactive
305,I Official 5594,8,268,4804.1,10259.54,Active
306,Very Pressure 370,19,5,1106.2,1895.03,Inactive
307,Film Yet 102,6,429,7342.68,11112.97,Active
308,Floor Degree 5783,18,15,2193.25,2543.94,Active
309,Glass Consider 3430,19,101,859.57,1340.58,Active
310,Partner Day 4780,1,89,4513.41,6618.32,Active
311,Ago Impact 3843,18,253,2515.42,3992.81,Inactive
312,Manager Anyone 9001,9,454,1136.5,1887.25,Active
313,Top Woman 5027,17,297,4127.2,7515.5,Active
314,Lay Usually 1430,15,288,1998.22,4224.86,Active
315,Hair Today 3579,6,342,5262.2,9185.81,Active
316,Site Pull 5073,21,151,2671.98,5552.29,Inactive
317,Design Here 2576,24,427,4282.79,9346.82,Active
318,During Less 5318,8,346,2363.04,2821.72,Active
319,Cold Deal 9384,11,456,885.3,1071.19,Active
320,Party Down 5121,1,255,5941.65,12624.93,Active
321,Well Under 356,1,376,1640.71,2007.28,Inactive
322,Black Like 811,22,352,597.23,805.87,Active
323,End Year 7091,23,23,2156.69,2809.92,Inactive
324,Support Participant 1791,18,135,1720.76,2990.33,Active
325,Stock Population 6479,22,346,6122.84,10343.69,Active
326,Seek Prove 489,15,320,1755.61,2225.99,Active
327,Former Scene 3362,8,88,2712.85,4877.21,Inactive
328,Federal Our 2168,15,464,4603.44,5368.14,Active
329,Respond Door 5857,10,407,3107.1,6342.63,Active
330,Player Development 4828,19,369,6702.97,9194.79,Active
331,Should Sea 5505,6,403,6922.51,9578.91,Active
332,Around Western 7584,14,115,1410.57,2642.58,Active
333,Write People 2048,22,169,3984.05,6844.56,Active
334,Information Simply 3575,16,406,10932.62,20183.67,Active
335,Produce Money 6124,3,142,1504.17,1976.2,Active
336,Yeah Task 3396,25,100,1187.76,1808.88,Active
337,Camera Tv 1405,14,431,5159.93,7729.29,Active
338,More Maintain 4568,6,163,1629.28,3533.14,Inactive
339,Mother Employee 5149,19,401,14614.14,28547.91,Active
340,Inside Push 6053,16,124,2261.04,4866.88,Active
341,Morning Head 8586,4,477,1432.53,2537.33,Active
342,For Ever 6737,20,478,1949.45,3652.6,Inactive
343,Area Natural 7556,12,213,9369.49,13213.86,Active
344,Standard Attack 3728,4,131,1072.18,1360.19,Inactive
345,Value Center 8585,4,383,2257.23,3893.46,Active
346,Education Form 2504,24,319,2426.95,4632.92,Active
347,Foreign Leader 1057,8,433,384.26,703.62,Inactive
348,Kid About 5255,8,330,2026.78,4278.11,Active
349,Look Whatever 5680,18,182,2559.44,3927.65,Inactive
350,Operation Stuff 6456,20,1,1488.69,1988.2,Active
351,May There 5932,3,70,5318.07,6940.32,Active
352,Couple Across 2863,16,171,5624.43,6691.32,Active
353,Food Look 2528,15,181,3335.01,5768.39,Active
354,Almost Scene 631,14,161,1178.0,1761.68,Active
355,Use Tax 5351,3,429,1446.36,2328.66,Active
356,Who Laugh 8408,24,261,7046.6,11062.86,Active
357,Adult Radio 6547,25,213,19079.57,32701.2,Inactive
358,Wonder Image 8966,11,66,6259.3,9992.85,Inactive
359,Cut Successful 3789,17,278,4326.76,8497.28,Active
360,History Time 7067,12,58,1363.71,2146.4,Inactive
361,Understand Add 4581,11,221,3218.68,7014.7,Active
362,Race Doctor 7882,14,65,1046.87,1732.84,Inactive
363,Bit Such 1669,13,427,4669.83,6689.41,Inactive
364,Imagine Consumer 9986,23,155,2207.05,4393.4,Active
365,Compare Officer 7317,14,219,1154.64,1743.2,Active
366,Notice North 2059,25,96,2071.72,3389.69,Inactive
367,Security News 9392,8,212,4077.68,5852.69,Active
368,Agency Base 2076,24,64,3487.87,6939.74,Active
369,Same Figure 9251,17,405,3099.39,5402.97,Active
370,Three Sing 6382,22,282,3879.96,5745.27,Active
371,It Through 4904,14,120,1241.55,2373.88,Active
372,Sure Now 9879,13,124,1317.0,1779.14,Inactive
373,Coach Us 3083,5,500,1458.43,2268.8,Active
374,Any Result 5813,8,30,1019.01,1514.55,Active
375,Three Quickly 3823,3,272,2948.9,5804.67,Active
376,Why Girl 9381,24,383,902.52,1737.0,Active
377,Doctor Event 639,8,369,3555.54,6892.64,Active
378,Short Much 9545,4,42,838.54,1016.85,Active
379,Indeed Resource 7690,20,483,5312.78,9721.74,Active
380,Issue Service 8479,1,432,3639.35,5080.93,Active
381,Wind Determine 4470,20,300,881.03,1904.56,Active
382,Wrong Marriage 5685,14,133,4291.5,7363.05,Active
383,Discussion Above 7870,19,474,2707.1,5642.77,Inactive
384,Meeting People 7090,16,498,7347.42,12942.01,Active
385,Professor Sound 5307,20,124,2673.03,3950.06,Active
386,Owner Blue 6760,18,223,777.96,1630.57,Active
387,Fast Region 4086,20,447,2081.1,3432.78,Active
388,Public Strategy 4980,11,311,2540.14,2935.92,Active
389,Former Should 3321,9,256,1939.56,3009.08,Active
390,Whatever Each 1507,21,157,4515.03,9697.02,Active
391,Today Thank 5824,8,121,6728.17,7947.5,Active
392,Realize Everybody 735,17,22,4351.35,5748.51,Active
393,Painting Rather 2152,5,298,1310.42,1683.39,Inactive
394,Theory Service 226,22,413,3937.81,7057.78,Active
395,Participant Help 6285,8,430,2792.65,5574.89,Active
396,Design Fill 5592,22,155,1583.43,1834.03,Active
397,Instead Dark 3849,24,303,9399.81,18969.65,Active
398,Personal Born 3985,23,285,3176.78,4129.01,Inactive
399,But Age 9611,17,157,1564.22,2401.85,Active
400,School Defense 1110,15,389,2683.19,5169.95,Active
401,Tree Fight 8066,12,200,3541.8,7535.59,Active
402,Share News 7448,3,48,11332.46,24506.98,Active
403,Out Four 1593,17,307,4506.23,6306.48,Active
404,Of Out 6267,6,71,1769.08,3874.12,Active
405,Something Song 8960,14,3,5059.88,10129.92,Active
406,See Figure 4676,5,182,3348.43,5581.48,Active
407,Cost Dream 8309,10,294,856.13,1551.58,Active
408,Home Concern 9502,13,236,1017.71,1835.55,Active
409,Official Serve 371,14,254,1579.34,3290.68,Active
410,Among Particularly 4240,5,468,1346.17,2109.51,Active
411,Number Item 8366,21,134,1243.32,2536.08,Active
412,Play Discuss 5107,8,177,4276.02,8449.67,Active
413,Vote Line 3878,17,383,6338.67,8270.71,Inactive
414,Realize Word 8819,6,400,1056.78,1747.48,Active
415,Door Year 9902,18,384,2653.52,5370.2,Active
416,Car Perform 9222,20,138,7777.87,16864.33,Active
417,Son One 6827,3,76,6016.1,7442.09,Active
418,Expert At 5872,17,269,2309.43,5021.59,Active
419,Opportunity Price 5531,1,27,2024.89,4188.72,Inactive
420,System Thank 5184,21,181,10030.7,18732.62,Active
