PromotionID,PromotionName,PromotionType,DiscountRate,StartDate,EndDate
1,This Phone Campaign,Percentage Discount,0.3,2023-02-06,2023-03-28
2,Woman Live Campaign,Percentage Discount,0.4,2023-09-08,2023-10-01
3,Still Reach Campaign,Flash Sale,0.3,2024-12-31,2025-01-11
4,Push Over Campaign,Seasonal Campaign,0.3,2025-03-11,2025-04-24
5,Relationship Scene Campaign,Flash Sale,0.3,2023-02-06,2023-03-04
6,She Hospital Campaign,Fixed Amount,0.25,2023-04-10,2023-06-05
7,Suffer Describe Campaign,Category Promotion,0.05,2024-06-30,2024-08-04
8,Near Action Campaign,Percentage Discount,0.05,2025-05-09,2025-07-04
9,Wrong Evidence Campaign,Percentage Discount,0.2,2024-07-29,2024-09-24
10,Anyone Ask Campaign,Category Promotion,0.25,2023-03-21,2023-05-10
11,Her Success Campaign,Category Promotion,0.2,2024-07-26,2024-09-14
12,Public Avoid Campaign,Percentage Discount,0.2,2024-11-20,2024-12-28
13,Cold Beat Campaign,Category Promotion,0.1,2024-06-09,2024-07-30
14,Increase Guy Campaign,Flash Sale,0.15,2023-02-06,2023-03-05
15,Time Role Campaign,Seasonal Campaign,0.4,2025-02-23,2025-04-01
16,Weight Always Campaign,Seasonal Campaign,0.1,2023-10-05,2023-11-07
17,Social Appear Campaign,Category Promotion,0.1,2024-06-08,2024-07-23
18,Least Light Campaign,Category Promotion,0.4,2024-02-15,2024-03-07
19,Effect Pretty Campaign,Fixed Amount,0.25,2023-01-17,2023-02-10
20,Trip Deep Campaign,Flash Sale,0.2,2023-03-12,2023-04-17
21,Painting Other Campaign,Category Promotion,0.4,2024-01-17,2024-03-02
22,Move Front Campaign,Category Promotion,0.2,2023-04-20,2023-06-15
23,Art Play Campaign,Flash Sale,0.3,2023-06-27,2023-08-22
24,Local World Campaign,Category Promotion,0.1,2024-07-13,2024-08-20
25,Local Service Campaign,Category Promotion,0.4,2023-12-27,2024-02-24
26,Size Play Campaign,Percentage Discount,0.3,2023-04-09,2023-05-12
27,Plan Admit Campaign,Flash Sale,0.4,2025-05-25,2025-06-27
28,Provide Successful Campaign,Fixed Amount,0.4,2025-04-01,2025-05-04
29,Far Effect Campaign,Fixed Amount,0.05,2024-10-14,2024-12-03
30,Add Loss Campaign,Category Promotion,0.4,2023-05-24,2023-06-02
31,Bring Site Campaign,Percentage Discount,0.1,2024-06-12,2024-07-23
32,Arrive Movie Campaign,Fixed Amount,0.4,2024-10-01,2024-11-09
33,Go Difference Campaign,Category Promotion,0.2,2023-11-11,2023-12-22
34,Mouth Discuss Campaign,Flash Sale,0.15,2024-12-12,2025-01-15
35,Mother Charge Campaign,Seasonal Campaign,0.15,2024-11-01,2024-11-12
36,Yes Capital Campaign,Category Promotion,0.1,2023-11-25,2024-01-09
37,Finish Like Campaign,Flash Sale,0.05,2023-05-23,2023-06-02
38,Sister Color Campaign,Category Promotion,0.3,2025-04-05,2025-04-25
39,Half Evidence Campaign,Fixed Amount,0.15,2023-12-09,2023-12-22
40,Consumer Piece Campaign,Percentage Discount,0.1,2024-01-06,2024-02-04
41,During Your Campaign,Category Promotion,0.3,2024-12-07,2025-01-17
42,Recently Government Campaign,Seasonal Campaign,0.05,2023-09-30,2023-11-18
43,Recognize Seven Campaign,Category Promotion,0.05,2025-01-23,2025-03-05
44,Per Individual Campaign,Percentage Discount,0.15,2024-09-22,2024-10-22
45,Than Doctor Campaign,Flash Sale,0.25,2024-07-22,2024-09-12
46,Where Whom Campaign,Flash Sale,0.4,2023-11-01,2023-12-27
47,Man Check Campaign,Percentage Discount,0.4,2025-05-27,2025-07-20
48,Live Card Campaign,Flash Sale,0.4,2024-10-11,2024-11-14
49,Third Bill Campaign,Percentage Discount,0.3,2023-11-12,2024-01-08
50,Machine East Campaign,Category Promotion,0.15,2023-07-28,2023-09-07
51,Ok Serious Campaign,Seasonal Campaign,0.25,2024-02-26,2024-04-06
52,Democratic Cell Campaign,Percentage Discount,0.2,2023-07-30,2023-08-11
53,Center Claim Campaign,Fixed Amount,0.4,2023-10-03,2023-11-21
54,Concern Serve Campaign,Category Promotion,0.15,2023-11-14,2023-12-13
55,Less You Campaign,Flash Sale,0.15,2023-06-14,2023-06-29
56,Case Third Campaign,Percentage Discount,0.25,2024-08-16,2024-09-07
57,Particular Box Campaign,Percentage Discount,0.1,2023-04-03,2023-05-06
58,Tend Already Campaign,Seasonal Campaign,0.15,2025-03-28,2025-04-09
59,Least Five Campaign,Seasonal Campaign,0.2,2024-05-07,2024-07-02
60,Population Public Campaign,Category Promotion,0.2,2024-11-09,2024-12-28
61,Everybody Make Campaign,Seasonal Campaign,0.25,2025-05-26,2025-06-11
62,Research Rule Campaign,Category Promotion,0.4,2023-11-09,2023-12-31
63,Contain Spend Campaign,Flash Sale,0.2,2025-06-01,2025-06-30
64,Million Conference Campaign,Flash Sale,0.4,2024-01-12,2024-03-03
65,Painting Ask Campaign,Percentage Discount,0.25,2024-11-18,2024-12-21
66,Family Involve Campaign,Seasonal Campaign,0.15,2024-03-28,2024-04-20
67,Most Interesting Campaign,Percentage Discount,0.25,2024-08-23,2024-09-11
68,After Other Campaign,Category Promotion,0.2,2023-03-06,2023-03-17
69,Main Film Campaign,Seasonal Campaign,0.15,2023-08-14,2023-10-03
70,Still Choose Campaign,Seasonal Campaign,0.15,2024-03-14,2024-04-19
71,Appear Investment Campaign,Category Promotion,0.2,2024-12-07,2024-12-19
72,Turn Trouble Campaign,Percentage Discount,0.25,2024-02-21,2024-04-16
73,Bring And Campaign,Flash Sale,0.05,2025-05-24,2025-07-13
74,Need Heavy Campaign,Category Promotion,0.4,2024-06-13,2024-07-16
75,Be Section Campaign,Category Promotion,0.1,2023-01-14,2023-02-04
76,Discuss Possible Campaign,Percentage Discount,0.05,2025-01-05,2025-02-18
77,Indeed Question Campaign,Category Promotion,0.15,2023-11-21,2023-12-29
78,Difference Series Campaign,Seasonal Campaign,0.15,2025-03-29,2025-05-13
79,Heart Any Campaign,Flash Sale,0.15,2024-09-16,2024-10-19
80,History Who Campaign,Fixed Amount,0.4,2025-02-21,2025-03-25
81,Across Top Campaign,Seasonal Campaign,0.3,2023-11-21,2024-01-15
82,Cost Size Campaign,Category Promotion,0.1,2024-04-26,2024-06-07
83,Field Occur Campaign,Seasonal Campaign,0.25,2023-11-06,2023-12-28
84,Himself Future Campaign,Seasonal Campaign,0.25,2025-04-12,2025-06-01
85,Maybe Travel Campaign,Fixed Amount,0.3,2023-04-25,2023-05-14
86,Special Star Campaign,Seasonal Campaign,0.05,2025-05-17,2025-05-30
87,Trouble Heavy Campaign,Percentage Discount,0.3,2024-04-04,2024-05-21
88,Far Movement Campaign,Percentage Discount,0.1,2023-04-05,2023-04-27
89,Memory Notice Campaign,Flash Sale,0.4,2024-04-19,2024-05-22
90,Discussion Including Campaign,Fixed Amount,0.4,2023-04-29,2023-06-06
91,Thing Whole Campaign,Percentage Discount,0.25,2023-10-05,2023-10-21
92,Campaign Green Campaign,Flash Sale,0.3,2024-06-21,2024-07-26
93,Available Building Campaign,Category Promotion,0.4,2023-08-21,2023-09-23
94,Line Always Campaign,Seasonal Campaign,0.4,2024-12-05,2025-01-03
95,Answer Record Campaign,Percentage Discount,0.4,2024-03-01,2024-03-19
96,In Animal Campaign,Fixed Amount,0.1,2024-06-25,2024-07-21
97,Share You Campaign,Fixed Amount,0.25,2024-04-03,2024-05-25
98,Prepare Specific Campaign,Category Promotion,0.15,2024-03-07,2024-04-23
99,Difficult Across Campaign,Category Promotion,0.2,2024-03-14,2024-04-05
100,Listen Leave Campaign,Percentage Discount,0.15,2024-07-05,2024-08-18
