ReturnID,OrderItemID,OrderID,ProductID,SellerID,ReturnedQuantity,ReturnReason,ReturnDate,ReturnCost
1,2,1,4281,456,1,Changed Mind,2023-05-02,267.39
2,13,5,4376,44,1,Changed Mind,2024-05-08,322.42
3,26,9,4638,102,2,Poor Quality,2023-08-21,669.16
4,28,10,2250,55,1,Poor Quality,2023-05-13,324.59
5,35,16,4204,88,1,Changed Mind,2025-05-29,285.3
6,64,29,4324,149,1,Changed Mind,2024-09-14,201.0
7,88,40,4531,80,1,Poor Quality,2024-12-10,248.62
8,112,54,967,55,1,Wrong Item,2024-06-11,302.22
9,125,59,4161,205,1,Damaged,2025-03-29,85.41
10,127,59,3878,400,1,Not as Described,2025-04-17,234.46
11,174,81,3569,79,1,Poor Quality,2025-11-10,264.63
12,180,84,4472,245,1,Not as Described,2025-07-07,118.68
13,212,100,2634,413,3,Changed Mind,2023-06-14,417.27
14,213,100,4773,140,1,Not as Described,2023-06-21,154.06
15,218,102,3447,42,1,Wrong Item,2023-09-05,203.99
16,224,104,4268,18,1,Poor Quality,2023-01-27,211.84
17,225,105,3061,91,1,Wrong Item,2025-06-21,309.92
18,232,107,1674,290,1,Late Delivery,2025-05-12,261.55
19,255,120,170,32,1,Changed Mind,2023-05-14,284.99
20,268,125,3531,157,1,Poor Quality,2025-08-19,297.37
21,280,132,4595,56,1,Poor Quality,2024-09-15,294.2
22,296,140,4188,277,1,Not as Described,2024-05-12,313.2
23,298,141,987,178,1,Poor Quality,2025-12-30,158.28
24,305,144,1068,172,1,Poor Quality,2024-03-28,324.42
25,307,145,2981,186,1,Damaged,2026-01-20,340.23
26,312,148,3390,227,1,Damaged,2023-09-23,163.48
27,317,149,1956,28,1,Damaged,2025-06-29,171.67
28,319,150,4679,455,1,Late Delivery,2023-03-19,107.67
29,321,151,2787,317,1,Late Delivery,2025-08-01,335.96
30,325,155,536,439,1,Not as Described,2024-04-26,282.93
31,327,156,1116,83,1,Poor Quality,2025-01-21,300.93
32,332,160,1339,278,1,Poor Quality,2025-05-14,224.23
33,359,176,3652,116,1,Late Delivery,2024-06-11,348.18
34,362,177,1952,221,1,Late Delivery,2025-03-07,120.68
35,368,181,2716,223,1,Late Delivery,2025-10-29,200.11
36,408,201,4856,36,1,Poor Quality,2024-02-27,323.28
37,423,208,4472,245,1,Poor Quality,2025-12-10,184.14
38,435,213,2691,15,1,Wrong Item,2025-05-22,272.37
39,454,223,4354,500,1,Poor Quality,2025-03-06,209.54
40,462,225,4388,134,1,Late Delivery,2025-03-21,282.61
41,487,236,1728,448,1,Not as Described,2025-03-10,87.65
42,519,252,974,90,1,Changed Mind,2024-07-11,163.04
43,520,252,4300,102,1,Changed Mind,2024-07-20,200.99
44,529,258,4490,2,1,Not as Described,2023-05-05,227.49
45,548,266,1126,406,1,Late Delivery,2024-10-19,86.25
46,551,269,3073,362,1,Late Delivery,2024-11-25,293.12
47,559,275,3421,270,3,Wrong Item,2024-04-06,800.36
48,567,278,4911,271,1,Late Delivery,2025-05-16,306.71
49,606,296,942,2,1,Poor Quality,2024-08-13,126.46
50,608,297,4380,192,1,Damaged,2025-08-13,119.5
51,609,297,4773,140,1,Late Delivery,2025-08-02,169.82
52,613,299,2240,54,1,Poor Quality,2023-11-22,287.35
53,637,312,257,317,1,Poor Quality,2025-01-10,133.97
54,639,313,2453,423,1,Changed Mind,2023-05-29,266.77
55,646,319,3437,10,2,Poor Quality,2025-11-22,291.57
56,648,320,4739,409,1,Changed Mind,2025-04-25,123.53
57,661,326,3090,74,1,Poor Quality,2023-09-26,107.87
58,673,333,2946,310,1,Late Delivery,2023-12-10,83.82
59,711,348,1592,455,1,Changed Mind,2025-11-06,329.51
60,723,353,4309,215,1,Changed Mind,2023-11-29,282.66
61,729,355,3277,62,1,Changed Mind,2025-12-20,252.53
62,752,369,438,450,1,Poor Quality,2023-01-28,275.31
63,770,379,117,157,1,Late Delivery,2024-03-20,340.69
64,778,385,4057,463,1,Poor Quality,2023-02-24,253.02
65,789,388,4426,252,1,Wrong Item,2025-07-13,147.25
66,797,393,4107,181,1,Late Delivery,2024-03-06,127.09
67,808,397,149,97,1,Not as Described,2023-03-06,254.29
68,842,412,2672,262,1,Not as Described,2023-09-25,276.89
69,860,424,4878,493,1,Damaged,2024-10-09,172.93
70,863,426,2219,336,1,Poor Quality,2023-08-22,333.67
71,883,435,1670,118,1,Not as Described,2024-05-13,202.08
72,926,457,4933,252,1,Not as Described,2023-06-23,230.95
73,929,458,4647,34,1,Wrong Item,2024-12-15,339.26
74,941,463,2992,435,1,Changed Mind,2025-04-15,204.03
75,948,467,1423,46,1,Not as Described,2023-07-16,323.32
76,959,471,1800,217,1,Poor Quality,2025-03-28,159.1
77,973,480,2845,419,3,Poor Quality,2023-05-12,673.78
78,982,486,754,232,1,Late Delivery,2023-10-02,257.73
79,983,486,4652,279,1,Changed Mind,2023-10-02,308.11
80,992,489,3588,124,1,Late Delivery,2025-05-14,287.39
81,995,492,3024,453,1,Damaged,2025-08-29,156.46
82,1017,504,1160,172,2,Poor Quality,2025-09-01,190.58
83,1023,508,2845,419,1,Poor Quality,2023-10-25,210.94
84,1031,513,3394,244,1,Wrong Item,2025-08-03,236.89
85,1032,514,2842,274,1,Not as Described,2025-06-17,332.17
86,1039,521,892,241,1,Poor Quality,2024-01-31,334.67
87,1054,526,824,62,1,Poor Quality,2023-12-16,174.61
88,1058,528,3914,192,1,Wrong Item,2023-07-03,190.3
89,1087,542,3298,484,2,Poor Quality,2023-03-12,357.98
90,1097,546,3006,39,1,Poor Quality,2023-03-15,92.02
91,1098,547,3541,264,1,Changed Mind,2024-05-10,119.43
92,1121,555,2824,244,1,Late Delivery,2026-01-04,277.68
93,1146,570,4314,178,1,Poor Quality,2024-10-15,200.05
94,1182,588,2030,380,1,Wrong Item,2023-05-06,229.53
95,1187,590,1437,20,1,Changed Mind,2025-08-07,295.56
96,1195,594,4493,493,1,Poor Quality,2026-01-06,237.69
97,1210,600,3249,44,1,Wrong Item,2024-12-23,151.19
98,1218,604,3341,92,1,Late Delivery,2023-06-21,169.0
99,1234,610,961,206,1,Wrong Item,2025-08-16,306.27
100,1241,614,4221,327,1,Changed Mind,2024-03-21,216.46
101,1248,617,3947,274,1,Poor Quality,2023-10-09,88.53
102,1275,630,4181,110,1,Poor Quality,2024-02-22,127.73
103,1279,632,2341,119,1,Late Delivery,2023-12-31,94.74
104,1287,635,1227,47,1,Wrong Item,2023-07-29,310.05
105,1306,645,3314,385,1,Changed Mind,2025-05-20,310.84
106,1309,646,3524,482,1,Wrong Item,2024-01-15,126.96
107,1319,649,2287,142,1,Not as Described,2025-12-05,337.85
108,1333,655,1172,169,1,Poor Quality,2024-09-14,332.39
