ReviewID,OrderID,CustomerID,Rating,ReviewDate,ReviewText
1,2,20875,5,2025-06-02,Customer reported a positive experience.
2,3,35559,4,2025-01-05,Customer reported a positive experience.
3,4,28754,4,2024-05-12,Customer reported a positive experience.
4,7,11244,5,2023-05-16,Customer reported a positive experience.
5,8,29123,5,2025-03-10,Customer reported a positive experience.
6,11,23584,5,2024-08-29,Customer reported a positive experience.
7,12,32063,5,2026-01-02,Customer reported a positive experience.
8,15,36853,5,2025-03-08,Customer reported a positive experience.
9,16,16870,5,2025-06-16,Customer reported a positive experience.
10,21,22170,4,2024-07-07,Customer reported a positive experience.
11,22,37774,2,2024-03-01,Customer reported an issue with the order.
12,29,40335,4,2024-08-31,Customer reported a positive experience.
13,31,37383,5,2024-05-18,Customer reported a positive experience.
14,33,39227,4,2023-05-15,Customer reported a positive experience.
15,42,29979,5,2025-04-30,Customer reported a positive experience.
16,48,13888,5,2025-09-25,Customer reported a positive experience.
17,54,44974,5,2024-07-03,Customer reported a positive experience.
18,59,4945,2,2025-04-04,Customer reported an issue with the order.
19,64,31036,5,2025-12-16,Customer reported a positive experience.
20,68,16191,5,2024-03-08,Customer reported a positive experience.
21,70,18345,5,2024-06-03,Customer reported a positive experience.
22,73,38922,4,2024-06-11,Customer reported a positive experience.
23,75,23211,1,2025-02-18,Customer reported an issue with the order.
24,77,5573,3,2024-01-30,Customer reported an average experience.
25,82,41884,4,2024-06-02,Customer reported a positive experience.
26,83,32234,5,2023-07-13,Customer reported a positive experience.
27,85,28120,1,2024-12-08,Customer reported an issue with the order.
28,94,39577,4,2024-03-22,Customer reported a positive experience.
29,98,9399,5,2025-02-15,Customer reported a positive experience.
30,101,39201,4,2025-07-08,Customer reported a positive experience.
31,107,47656,4,2025-06-12,Customer reported a positive experience.
32,113,18126,4,2024-10-06,Customer reported a positive experience.
33,117,21008,5,2023-03-17,Customer reported a positive experience.
34,120,47723,2,2023-05-27,Customer reported an issue with the order.
35,121,24677,3,2024-05-07,Customer reported an average experience.
36,122,12905,5,2025-01-26,Customer reported a positive experience.
37,126,31139,3,2024-10-08,Customer reported an average experience.
38,130,9244,4,2024-12-01,Customer reported a positive experience.
39,133,25568,4,2023-04-15,Customer reported a positive experience.
40,134,28059,5,2024-10-07,Customer reported a positive experience.
41,136,49121,4,2023-12-17,Customer reported a positive experience.
42,140,42475,5,2024-05-23,Customer reported a positive experience.
43,143,23536,5,2023-11-27,Customer reported a positive experience.
44,144,35692,4,2024-05-04,Customer reported a positive experience.
45,145,7816,3,2026-01-14,Customer reported an average experience.
