SellerID,SellerName,City,Country,SellerType,JoinDate
1,Ramirez-Moore,Osogbo,Nigeria,Premium,2024-12-26
2,Taylor LLC,Ado-Ekiti,Nigeria,High Volume,2022-08-14
3,Eaton and Sons,Osogbo,Nigeria,Standard,2021-12-13
4,Ramirez-Collier,Ado-Ekiti,Nigeria,Discount Heavy,2021-07-29
5,Morrison and Sons,Onitsha,Nigeria,Premium,2021-08-12
6,Gibson Inc,Abeokuta,Nigeria,Premium,2024-07-06
7,Robles PLC,Calabar,Nigeria,Standard,2021-03-06
8,Moreno-Huffman,Benin City,Nigeria,Standard,2023-09-01
9,David-Martinez,Uyo,Nigeria,Standard,2023-12-21
10,"Cochran, Gould and Kent",Calabar,Nigeria,High Margin,2024-05-09
11,Leon Inc,Jos,Nigeria,High Margin,2021-02-26
12,"Collins, Solomon and Sloan",Uyo,Nigeria,High Margin,2022-09-20
13,"Hernandez, Parker and Acosta",Jos,Nigeria,High Margin,2024-12-12
14,Le-Mason,Onitsha,Nigeria,Standard,2021-01-11
15,Torres-Brady,Kano,Nigeria,Discount Heavy,2024-11-07
16,"Ferguson, Sexton and Brooks",Onitsha,Nigeria,Premium,2024-07-29
17,Franklin-Fitzgerald,Warri,Nigeria,High Volume,2023-09-30
18,"Dickerson, Craig and Rodriguez",Benin City,Nigeria,Standard,2025-03-21
19,"Briggs, Wilson and Golden",Kano,Nigeria,Standard,2021-04-02
20,"Mills, Smith and Jackson",Akure,Nigeria,Premium,2024-12-04
21,Tanner-Glass,Ado-Ekiti,Nigeria,Standard,2021-05-05
22,Andrews-Rodriguez,Jos,Nigeria,Standard,2024-06-03
23,Clark-Stone,Benin City,Nigeria,High Volume,2023-12-30
24,"Hernandez, Smith and Morales",Ado-Ekiti,Nigeria,Standard,2022-06-06
25,"Bryant, Hall and Green",Owerri,Nigeria,High Margin,2022-12-10
26,"Melendez, Matthews and Campbell",Jos,Nigeria,High Volume,2022-03-30
27,Davis-Edwards,Jos,Nigeria,Standard,2022-01-17
28,"Doyle, Lowe and Woodward",Abuja,Nigeria,High Volume,2022-06-16
29,Bean-Pope,Sokoto,Nigeria,Premium,2023-08-25
30,"Singh, Johnson and Parsons",Ilorin,Nigeria,Standard,2023-10-20
31,Hall Group,Sokoto,Nigeria,Standard,2023-01-27
32,Maldonado-Brown,Port Harcourt,Nigeria,Standard,2024-04-27
33,Cooley-Sanders,Abuja,Nigeria,Standard,2024-07-05
34,"Guzman, Dixon and Pierce",Lagos,Nigeria,Discount Heavy,2022-12-24
35,Sexton Inc,Owerri,Nigeria,Standard,2021-05-20
36,Terrell Group,Ado-Ekiti,Nigeria,High Volume,2023-02-03
37,"Hawkins, Willis and Murphy",Calabar,Nigeria,High Margin,2024-01-07
38,Moon PLC,Uyo,Nigeria,High Volume,2023-08-26
39,Sullivan LLC,Abeokuta,Nigeria,Premium,2022-05-21
40,Griffith-Moody,Ibadan,Nigeria,High Volume,2022-01-08
41,Moore LLC,Akure,Nigeria,High Volume,2025-03-03
42,Little-Marks,Kaduna,Nigeria,Discount Heavy,2025-05-11
43,Andrade-Newman,Ibadan,Nigeria,High Margin,2021-11-23
44,"Yu, Anderson and Hale",Benin City,Nigeria,High Volume,2022-04-01
45,Clark LLC,Uyo,Nigeria,High Volume,2021-07-11
46,Martin-Horton,Sokoto,Nigeria,High Volume,2025-05-28
47,Fernandez-Willis,Enugu,Nigeria,High Volume,2022-01-28
48,"Rangel, Sharp and Morgan",Uyo,Nigeria,Discount Heavy,2021-06-22
49,Brewer Group,Osogbo,Nigeria,High Margin,2021-07-19
50,Robinson LLC,Ibadan,Nigeria,Standard,2023-07-28
51,Love Inc,Kaduna,Nigeria,High Margin,2022-02-12
52,Fernandez-Lopez,Lagos,Nigeria,High Margin,2024-11-01
