ShipmentID,OrderID,CourierID,WarehouseID,ExpectedDeliveryDays,LateProbability,FailedProbability,BaseShippingCost,ShippingCost,OrderDate,ExpectedDeliveryDate,DeliveryDate,DeliveryStatus
1,1,1,12,2.5,0.08,0.02,180,181.27,2023-04-08,2023-04-11,2023-04-11,On Time
2,2,1,14,2.5,0.08,0.02,180,153.5,2025-04-28,2025-05-01,2025-05-03,On Time
3,3,8,15,6.0,0.32,0.09,300,339.5,2024-12-18,2024-12-24,2024-12-24,On Time
4,4,10,11,4.0,0.18,0.05,250,244.81,2024-04-26,2024-04-30,2024-05-02,On Time
5,5,2,6,3.2,0.12,0.03,220,202.57,2024-04-19,2024-04-23,2024-04-24,On Time
6,6,2,4,3.2,0.12,0.03,220,262.0,2025-07-30,2025-08-03,2025-08-03,On Time
7,7,2,10,3.2,0.12,0.03,220,254.44,2023-04-05,2023-04-09,2023-04-10,On Time
8,8,7,6,3.5,0.14,0.04,210,250.38,2025-02-03,2025-02-07,2025-02-09,On Time
9,9,10,8,4.0,0.18,0.05,250,216.23,2023-08-09,2023-08-13,2023-08-15,On Time
10,10,7,5,3.5,0.14,0.04,210,228.53,2023-04-14,2023-04-18,2023-04-19,On Time
11,11,8,1,6.0,0.32,0.09,300,340.51,2024-07-31,2024-08-06,2024-08-10,Late
12,12,8,5,6.0,0.32,0.09,300,259.59,2025-12-05,2025-12-11,2025-12-15,Late
13,13,1,5,2.5,0.08,0.02,180,175.73,2025-03-17,2025-03-20,2025-03-26,Late
14,14,4,1,2.8,0.1,0.03,200,196.05,2025-04-14,2025-04-17,2025-04-18,On Time
15,15,9,9,3.0,0.09,0.025,190,172.82,2025-02-25,2025-02-28,2025-03-01,On Time
16,16,2,2,3.2,0.12,0.03,220,231.89,2025-05-11,2025-05-15,2025-05-17,On Time
17,17,8,11,6.0,0.32,0.09,300,340.46,2024-07-16,2024-07-22,2024-07-26,Late
18,18,10,10,4.0,0.18,0.05,250,291.34,2023-05-21,2023-05-25,2023-05-30,Late
